froi,fisher_z,froi_run,effect1_run,effect2_run,subject
LMFG,1.0765715118497725,orth1,1,all,059
LMFG,0.3678777702497943,orth2,2,all,059
LMFG,1.008563398173971,orth3,3,all,059
LAntTemp,1.5385542756544253,orth1,1,all,059
LAntTemp,1.4577634573191844,orth2,2,all,059
LAntTemp,-0.43071970944281107,orth3,3,all,059
LPostTemp,1.1736540339242993,orth1,1,all,059
LPostTemp,0.9426593453162709,orth2,2,all,059
LPostTemp,0.6821682511857458,orth3,3,all,059
LAngG,-0.04440719348946368,orth1,1,all,059
LAngG,-0.3296900789091045,orth2,2,all,059
LAngG,0.6502805230364946,orth3,3,all,059
LIFG_orb,-0.4010247470072927,orth1,1,all,056
LIFG_orb,0.5967679507027728,orth2,2,all,056
LIFG_orb,0.7246497411733449,orth3,3,all,056
LIFG,0.8878754705930558,orth1,1,all,056
LIFG,0.8249827683540866,orth2,2,all,056
LIFG,1.0260948180812457,orth3,3,all,056
LMFG,0.1313272576319223,orth1,1,all,056
LMFG,-0.24870325429592877,orth2,2,all,056
LMFG,1.1712139615074462,orth3,3,all,056
LAntTemp,-0.2076880045110832,orth1,1,all,056
LAntTemp,1.1151465205444129,orth2,2,all,056
LAntTemp,0.8710383747638775,orth3,3,all,056
LPostTemp,0.3158992459273556,orth1,1,all,056
LPostTemp,1.1690875979478246,orth2,2,all,056
LPostTemp,0.7655444209805966,orth3,3,all,056
LAngG,-0.36237529719674105,orth1,1,all,056
LAngG,-0.5724829407508222,orth2,2,all,056
LAngG,0.7589689852441336,orth3,3,all,056
LIFG_orb,0.649860820643828,orth1,1,all,067
LIFG_orb,0.5220873886037898,orth2,2,all,067
LIFG_orb,0.5406215489648792,orth3,3,all,067
LIFG,0.3347464329634672,orth1,1,all,067
LIFG,0.14531683777929078,orth2,2,all,067
LIFG,0.38759164650344324,orth3,3,all,067
LMFG,-0.46839233415042,orth1,1,all,067
LMFG,0.7917242263854034,orth2,2,all,067
LMFG,0.19356149489449126,orth3,3,all,067
LAntTemp,1.023928431268556,orth1,1,all,067
LAntTemp,0.5945843137954827,orth2,2,all,067
LAntTemp,0.695762491199489,orth3,3,all,067
LPostTemp,0.42753764357695007,orth1,1,all,067
LPostTemp,0.6551190449399753,orth2,2,all,067
LPostTemp,0.8912963696286178,orth3,3,all,067
LAngG,-0.17291172252207007,orth1,1,all,067
LAngG,-0.46577620256473473,orth2,2,all,067
LAngG,0.19908092551903656,orth3,3,all,067
LIFG_orb,1.0038739542799626,orth1,1,all,068
LIFG_orb,0.8147829665605726,orth2,2,all,068
LIFG_orb,0.567692188436118,orth3,3,all,068
LIFG,-0.41648612979896327,orth1,1,all,068
LIFG,0.41185247797478686,orth2,2,all,068
LIFG,-0.009265639296823537,orth3,3,all,068
LMFG,0.8402202297479568,orth1,1,all,068
LMFG,0.9010129744108256,orth2,2,all,068
LMFG,1.0447657493096427,orth3,3,all,068
LAntTemp,0.7350908876965054,orth1,1,all,068
LAntTemp,0.6669473555516657,orth2,2,all,068
LAntTemp,0.701375091101747,orth3,3,all,068
LPostTemp,0.6097321240925271,orth1,1,all,068
LPostTemp,0.8503257802337097,orth2,2,all,068
LPostTemp,-0.12460776423947552,orth3,3,all,068
LAngG,0.9801281946851578,orth1,1,all,068
LAngG,-0.15438189184204343,orth2,2,all,068
LAngG,-0.5017265958332576,orth3,3,all,068
LIFG_orb,-0.5622037903891263,orth1,1,all,019
LIFG_orb,-0.478770581480759,orth2,2,all,019
LIFG_orb,0.020341906638784598,orth3,3,all,019
LIFG,0.13963957883098307,orth1,1,all,019
LIFG,0.20815436212184057,orth2,2,all,019
LIFG,0.31797241905968315,orth3,3,all,019
LMFG,-0.5280469855446783,orth1,1,all,019
LMFG,-0.6593478583229392,orth2,2,all,019
LMFG,-0.47331939508662924,orth3,3,all,019
LAntTemp,-0.41031010123800443,orth1,1,all,019
LAntTemp,-0.0738231925790786,orth2,2,all,019
LAntTemp,0.3315826770569871,orth3,3,all,019
LPostTemp,-0.6502597449117943,orth1,1,all,019
LPostTemp,-0.2272807752596852,orth2,2,all,019
LPostTemp,-0.3270703125256563,orth3,3,all,019
LAngG,0.05378328056264304,orth1,1,all,019
LAngG,-0.3487194770902813,orth2,2,all,019
LAngG,0.220472459881422,orth3,3,all,019
LIFG_orb,1.0467332051194842,orth1,1,all,070
LIFG_orb,1.082127396517841,orth2,2,all,070
LIFG_orb,1.2418745507478977,orth3,3,all,070
LIFG,0.6794769351316942,orth1,1,all,070
LIFG,0.016262650028104206,orth2,2,all,070
LIFG,0.337574751018651,orth3,3,all,070
LMFG,0.8373626987220031,orth1,1,all,070
LMFG,0.840239657920558,orth2,2,all,070
LMFG,0.5988994105791862,orth3,3,all,070
LAntTemp,1.0336881159347606,orth1,1,all,070
LAntTemp,1.0609385666000906,orth2,2,all,070
LAntTemp,0.663414124014844,orth3,3,all,070
LPostTemp,0.6786519745529663,orth1,1,all,070
LPostTemp,0.9882928591687627,orth2,2,all,070
LPostTemp,0.556425615409035,orth3,3,all,070
LAngG,0.9029878998997914,orth1,1,all,070
LAngG,1.1562274198217368,orth2,2,all,070
LAngG,1.1844446548699836,orth3,3,all,070
LIFG_orb,0.8083441700376525,orth1,1,all,087
LIFG_orb,0.7498623852484331,orth2,2,all,087
LIFG_orb,0.7699645417987638,orth3,3,all,087
LIFG,0.7289136549675062,orth1,1,all,087
LIFG,0.8388851174929249,orth2,2,all,087
LIFG,0.9168114579086885,orth3,3,all,087
LMFG,0.419682532923763,orth1,1,all,087
LMFG,0.274057946797907,orth2,2,all,087
LMFG,0.5062243321555939,orth3,3,all,087
LAntTemp,0.28571654319892814,orth1,1,all,087
LAntTemp,0.6714227774676788,orth2,2,all,087
LAntTemp,0.35202981216116747,orth3,3,all,087
LPostTemp,1.1050595592756698,orth1,1,all,087
LPostTemp,-0.18274447212994496,orth2,2,all,087
LPostTemp,1.4285543529380742,orth3,3,all,087
LAngG,0.4350275141864443,orth1,1,all,087
LAngG,0.95978489267013,orth2,2,all,087
LAngG,0.88061082555516,orth3,3,all,087
LIFG_orb,0.24401121976970552,orth1,1,all,078
LIFG_orb,0.17798947648873953,orth2,2,all,078
LIFG_orb,-0.13693953912698548,orth3,3,all,078
LIFG,0.2707330096366749,orth1,1,all,078
LIFG,0.030991256739790633,orth2,2,all,078
LIFG,0.012605682222392391,orth3,3,all,078
LMFG,0.5177074621722368,orth1,1,all,078
LMFG,1.2353943409060113,orth2,2,all,078
LMFG,0.9997853691470661,orth3,3,all,078
LAntTemp,0.21016929022247707,orth1,1,all,078
LAntTemp,0.1337563811957918,orth2,2,all,078
LAntTemp,-0.30776621858750425,orth3,3,all,078
LPostTemp,0.1793980982888776,orth1,1,all,078
LPostTemp,0.08305699259482766,orth2,2,all,078
LPostTemp,-0.06007764422222041,orth3,3,all,078
LAngG,0.45254946726292317,orth1,1,all,078
LAngG,0.13938855583216234,orth2,2,all,078
LAngG,0.49997035234844206,orth3,3,all,078
LIFG_orb,0.2154460683227143,orth1,1,all,089
LIFG_orb,0.2542643763430373,orth2,2,all,089
LIFG_orb,-0.2294258674536026,orth3,3,all,089
LIFG,0.2454140878178427,orth1,1,all,089
LIFG,-0.18464675947494044,orth2,2,all,089
LIFG,-0.3468312619824776,orth3,3,all,089
LMFG,-0.0005694163804593037,orth1,1,all,089
LMFG,0.7928309126176066,orth2,2,all,089
LMFG,0.3235803950663635,orth3,3,all,089
LAntTemp,0.17796805859094453,orth1,1,all,089
LAntTemp,-0.17988068709240548,orth2,2,all,089
LAntTemp,-0.16382420826956245,orth3,3,all,089
