froi1,froi2,overlap,run1,run2,subject
5,5,0.1271186440677966,orth2,2,040
5,6,0.0,orth2,2,040
5,7,0.0,orth2,2,040
5,8,0.0,orth2,2,040
5,9,0.0,orth2,2,040
5,10,0.0,orth2,2,040
5,11,0.0,orth2,2,040
6,1,0.0,orth2,2,040
6,2,0.0,orth2,2,040
6,3,0.0,orth2,2,040
6,4,0.0,orth2,2,040
6,5,0.0,orth2,2,040
6,6,0.15306122448979592,orth2,2,040
6,7,0.0,orth2,2,040
6,8,0.0,orth2,2,040
6,9,0.0,orth2,2,040
6,10,0.0,orth2,2,040
6,11,0.0,orth2,2,040
7,1,0.0,orth2,2,040
7,2,0.0,orth2,2,040
7,3,0.0,orth2,2,040
7,4,0.0,orth2,2,040
7,5,0.0,orth2,2,040
7,6,0.0,orth2,2,040
7,7,0.0,orth2,2,040
7,8,0.0,orth2,2,040
7,9,0.0,orth2,2,040
7,10,0.0,orth2,2,040
7,11,0.0,orth2,2,040
8,1,0.0,orth2,2,040
8,2,0.0,orth2,2,040
8,3,0.0,orth2,2,040
8,4,0.0,orth2,2,040
8,5,0.0,orth2,2,040
8,6,0.0,orth2,2,040
8,7,0.0,orth2,2,040
8,8,0.07476635514018691,orth2,2,040
8,9,0.0,orth2,2,040
8,10,0.0,orth2,2,040
8,11,0.0,orth2,2,040
9,1,0.0,orth2,2,040
9,2,0.0,orth2,2,040
9,3,0.0,orth2,2,040
9,4,0.0,orth2,2,040
9,5,0.0,orth2,2,040
9,6,0.0,orth2,2,040
9,7,0.0,orth2,2,040
9,8,0.0,orth2,2,040
9,9,0.2,orth2,2,040
9,10,0.0,orth2,2,040
9,11,0.0,orth2,2,040
10,1,0.0,orth2,2,040
10,2,0.0,orth2,2,040
10,3,0.0,orth2,2,040
10,4,0.0,orth2,2,040
10,5,0.0,orth2,2,040
10,6,0.0,orth2,2,040
10,7,0.0,orth2,2,040
10,8,0.0,orth2,2,040
10,9,0.0,orth2,2,040
10,10,0.017241379310344827,orth2,2,040
10,11,0.0,orth2,2,040
11,1,0.0,orth2,2,040
11,2,0.0,orth2,2,040
11,3,0.0,orth2,2,040
11,4,0.0,orth2,2,040
11,5,0.0,orth2,2,040
11,6,0.0,orth2,2,040
11,7,0.0,orth2,2,040
11,8,0.0,orth2,2,040
11,9,0.0,orth2,2,040
11,10,0.0,orth2,2,040
11,11,0.09090909090909091,orth2,2,040
1,1,0.1404494382022472,1,orth1,040
1,2,0.0,1,orth1,040
1,3,0.0,1,orth1,040
1,4,0.0,1,orth1,040
