subject,froi_size,froi,task,contrast,effect_size
059,46.0,5,EventsOrig,Perc_photo,0.47646100543763326
059,37.0,6,EventsOrig,Perc_photo,-0.49515206185547084
059,294.0,1,EventsOrig,Sem_sent,1.0683624899255582
059,162.0,2,EventsOrig,Sem_sent,0.4439114314377492
059,64.0,3,EventsOrig,Sem_sent,1.1846756138838828
059,74.0,4,EventsOrig,Sem_sent,1.6294863875451926
059,46.0,5,EventsOrig,Sem_sent,2.0889977372210957
059,37.0,6,EventsOrig,Sem_sent,0.6161817976751843
059,294.0,1,EventsOrig,Perc_sent,0.45323468464090916
059,162.0,2,EventsOrig,Perc_sent,0.22361974281339367
059,64.0,3,EventsOrig,Perc_sent,-0.39300839925999753
059,74.0,4,EventsOrig,Perc_sent,0.41034622993823644
059,46.0,5,EventsOrig,Perc_sent,1.0408538631770923
059,37.0,6,EventsOrig,Perc_sent,-0.06509365181665162
056,294.0,1,SWNloc,S,0.8534185442822202
056,162.0,2,SWNloc,S,0.236715079072974
056,64.0,3,SWNloc,S,0.5132753522484563
056,74.0,4,SWNloc,S,0.3842788807594696
056,46.0,5,SWNloc,S,0.5161552317018715
056,37.0,6,SWNloc,S,0.019227933004364237
056,294.0,1,SWNloc,W,0.6036422647368306
056,162.0,2,SWNloc,W,0.03131716242609804
056,64.0,3,SWNloc,W,0.2214145605394151
056,74.0,4,SWNloc,W,0.3196420730280413
056,46.0,5,SWNloc,W,0.22667352515070335
056,37.0,6,SWNloc,W,-0.1102558875305427
056,294.0,1,SWNloc,N,-0.23470894608286563
056,162.0,2,SWNloc,N,-0.36319704410076764
056,64.0,3,SWNloc,N,-0.5370640402737384
056,74.0,4,SWNloc,N,-0.26804421170979637
056,46.0,5,SWNloc,N,0.09501736681820636
056,37.0,6,SWNloc,N,-0.19821387296542525
056,294.0,1,EventsOrig,Sem_photo,0.9838977336097939
056,162.0,2,EventsOrig,Sem_photo,0.09050288756757423
056,64.0,3,EventsOrig,Sem_photo,1.4741594018414617
056,74.0,4,EventsOrig,Sem_photo,1.7090537350222066
056,46.0,5,EventsOrig,Sem_photo,0.7499635295699472
056,37.0,6,EventsOrig,Sem_photo,0.6247533245666607
056,294.0,1,EventsOrig,Perc_photo,0.3869962544009394
056,162.0,2,EventsOrig,Perc_photo,-0.005915050521308993
056,64.0,3,EventsOrig,Perc_photo,0.44929466070607305
056,74.0,4,EventsOrig,Perc_photo,-0.0509707183652633
056,46.0,5,EventsOrig,Perc_photo,0.0929085647120424
056,37.0,6,EventsOrig,Perc_photo,-0.16303761383971652
056,294.0,1,EventsOrig,Sem_sent,1.8429826152872066
056,162.0,2,EventsOrig,Sem_sent,0.7609902460294787
056,64.0,3,EventsOrig,Sem_sent,1.4166009151376784
056,74.0,4,EventsOrig,Sem_sent,2.560969138467634
056,46.0,5,EventsOrig,Sem_sent,1.1801717859571395
056,37.0,6,EventsOrig,Sem_sent,0.7768486728136604
056,294.0,1,EventsOrig,Perc_sent,0.4189251750378179
056,162.0,2,EventsOrig,Perc_sent,0.1020310146757114
056,64.0,3,EventsOrig,Perc_sent,0.13237825641408563
056,74.0,4,EventsOrig,Perc_sent,0.22215093390361682
056,46.0,5,EventsOrig,Perc_sent,0.21470845112091172
056,37.0,6,EventsOrig,Perc_sent,-0.2442713037535951
067,294.0,1,SWNloc,S,0.8877060126115688
067,162.0,2,SWNloc,S,0.10804167347279887
067,64.0,3,SWNloc,S,-0.2694400489290274
067,74.0,4,SWNloc,S,0.9552460775060985
067,46.0,5,SWNloc,S,1.6814453854509022
067,37.0,6,SWNloc,S,-0.1480444681816021
067,294.0,1,SWNloc,W,0.5977655804437287
067,162.0,2,SWNloc,W,-0.13435671148235323
067,64.0,3,SWNloc,W,-0.3392133458837634
067,74.0,4,SWNloc,W,0.02674940140364138
067,46.0,5,SWNloc,W,0.5481907766636299
067,37.0,6,SWNloc,W,-0.7362682337092387
067,294.0,1,SWNloc,N,0.1400932325208623
067,162.0,2,SWNloc,N,-0.022919948508541642
067,64.0,3,SWNloc,N,-0.5009757644232499
067,74.0,4,SWNloc,N,0.28616671018965273
067,46.0,5,SWNloc,N,0.13785939438241548
067,37.0,6,SWNloc,N,-0.6468496877733652
067,294.0,1,EventsOrig,Sem_photo,0.28854614108496784
067,162.0,2,EventsOrig,Sem_photo,0.44092730670753455
067,64.0,3,EventsOrig,Sem_photo,0.7227102242177352
067,74.0,4,EventsOrig,Sem_photo,1.1579890812973719
067,46.0,5,EventsOrig,Sem_photo,1.4125140944252843
067,37.0,6,EventsOrig,Sem_photo,1.2818164648236454
067,294.0,1,EventsOrig,Perc_photo,0.20952038725736696
067,162.0,2,EventsOrig,Perc_photo,0.4265985231973047
067,64.0,3,EventsOrig,Perc_photo,0.6871290807903279
067,74.0,4,EventsOrig,Perc_photo,0.6366575771086925
067,46.0,5,EventsOrig,Perc_photo,1.315705523542736
067,37.0,6,EventsOrig,Perc_photo,0.9579876878777066
067,294.0,1,EventsOrig,Sem_sent,0.7323335503437081
067,162.0,2,EventsOrig,Sem_sent,0.5270977694955137
067,64.0,3,EventsOrig,Sem_sent,0.37063848358229734
067,74.0,4,EventsOrig,Sem_sent,1.7820504575565055
067,46.0,5,EventsOrig,Sem_sent,2.6891309515289636
067,37.0,6,EventsOrig,Sem_sent,1.1986722019878593
067,294.0,1,EventsOrig,Perc_sent,0.29264628695210027
067,162.0,2,EventsOrig,Perc_sent,0.2312888327388116
067,64.0,3,EventsOrig,Perc_sent,-0.029427484492771327
067,74.0,4,EventsOrig,Perc_sent,0.31752101779990904
067,46.0,5,EventsOrig,Perc_sent,1.1825056050134741
067,37.0,6,EventsOrig,Perc_sent,0.10615147101516659
068,294.0,1,SWNloc,S,1.296288600936946
068,162.0,2,SWNloc,S,0.5429631852371898
068,64.0,3,SWNloc,S,1.0520086500619072
068,74.0,4,SWNloc,S,0.4764351871237998
068,46.0,5,SWNloc,S,1.505295621879075
068,37.0,6,SWNloc,S,-0.17832015154501507
068,294.0,1,SWNloc,W,1.0833388253897753
068,162.0,2,SWNloc,W,-0.01867230787275382
068,64.0,3,SWNloc,W,0.43206938698131125
068,74.0,4,SWNloc,W,0.5091681069870656
068,46.0,5,SWNloc,W,1.244901419819697
068,37.0,6,SWNloc,W,-0.14302032576823556
068,294.0,1,SWNloc,N,0.5584316673147959
068,162.0,2,SWNloc,N,-0.4399096234624922
068,64.0,3,SWNloc,N,-0.20421080033217245
068,74.0,4,SWNloc,N,0.05601824690936016
068,46.0,5,SWNloc,N,1.3395897914297825
068,37.0,6,SWNloc,N,-0.011692032100515323
068,294.0,1,EventsOrig,Sem_photo,0.3366639499748949
068,162.0,2,EventsOrig,Sem_photo,-0.3088907466074567
068,64.0,3,EventsOrig,Sem_photo,0.83239143807441
068,74.0,4,EventsOrig,Sem_photo,0.7489931380023828
