subject,froi,task1,task2,effect1,effect2,fisher_z
040,LPostTemp,SWNloc,EventsOrig,N,Sem_photo,1.7232710039691
040,LAngG,SWNloc,EventsOrig,N,Sem_photo,0.10814889616070879
040,LIFG_orb,SWNloc,EventsOrig,N,Perc_photo,0.1936086918782273
040,LIFG,SWNloc,EventsOrig,N,Perc_photo,0.21714722965528138
040,LMFG,SWNloc,EventsOrig,N,Perc_photo,-0.6905516412201849
040,LAntTemp,SWNloc,EventsOrig,N,Perc_photo,0.8057302653928838
040,LPostTemp,SWNloc,EventsOrig,N,Perc_photo,1.5429529906333679
040,LAngG,SWNloc,EventsOrig,N,Perc_photo,0.005192683807345601
040,LIFG_orb,SWNloc,EventsOrig,N,Sem_sent,0.2723340734810691
040,LIFG,SWNloc,EventsOrig,N,Sem_sent,0.7713718678586384
040,LMFG,SWNloc,EventsOrig,N,Sem_sent,-0.438406454204338
040,LAntTemp,SWNloc,EventsOrig,N,Sem_sent,1.148910159280802
040,LPostTemp,SWNloc,EventsOrig,N,Sem_sent,1.4604260414292105
040,LAngG,SWNloc,EventsOrig,N,Sem_sent,0.35571401661410157
040,LIFG_orb,SWNloc,EventsOrig,N,Perc_sent,0.11406856477555706
040,LIFG,SWNloc,EventsOrig,N,Perc_sent,0.3756372232327499
040,LMFG,SWNloc,EventsOrig,N,Perc_sent,-0.38373965684680206
040,LAntTemp,SWNloc,EventsOrig,N,Perc_sent,0.20868752667609464
040,LPostTemp,SWNloc,EventsOrig,N,Perc_sent,1.3168304646974058
040,LAngG,SWNloc,EventsOrig,N,Perc_sent,0.09351944121084833
040,LIFG_orb,EventsOrig,SWNloc,Sem_photo,S,-0.18627123959023498
040,LIFG,EventsOrig,SWNloc,Sem_photo,S,0.5876644911203565
040,LMFG,EventsOrig,SWNloc,Sem_photo,S,-0.34430601198099603
040,LAntTemp,EventsOrig,SWNloc,Sem_photo,S,1.0325255154756185
040,LPostTemp,EventsOrig,SWNloc,Sem_photo,S,1.878983965865615
040,LAngG,EventsOrig,SWNloc,Sem_photo,S,0.10204621813968442
040,LIFG_orb,EventsOrig,SWNloc,Sem_photo,W,-0.09332599036215082
040,LIFG,EventsOrig,SWNloc,Sem_photo,W,0.5395045066176054
040,LMFG,EventsOrig,SWNloc,Sem_photo,W,-0.4646021266024032
040,LAntTemp,EventsOrig,SWNloc,Sem_photo,W,1.1177657207781282
040,LPostTemp,EventsOrig,SWNloc,Sem_photo,W,1.808437682215138
040,LAngG,EventsOrig,SWNloc,Sem_photo,W,-0.02988534144946718
040,LIFG_orb,EventsOrig,SWNloc,Sem_photo,N,0.05410056604256262
040,LIFG,EventsOrig,SWNloc,Sem_photo,N,0.6012993864683347
040,LMFG,EventsOrig,SWNloc,Sem_photo,N,-0.6068356576962248
040,LAntTemp,EventsOrig,SWNloc,Sem_photo,N,1.2120285860655755
040,LPostTemp,EventsOrig,SWNloc,Sem_photo,N,1.7232710039691
040,LAngG,EventsOrig,SWNloc,Sem_photo,N,0.10814889616070879
040,LIFG_orb,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.7281883700321653
040,LIFG,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.4076366604000751
040,LMFG,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.5528944002246431
040,LAntTemp,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.9463005758118292
040,LPostTemp,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.9337498228578968
040,LAngG,EventsOrig,EventsOrig,Sem_photo,Sem_photo,0.3000388071500965
040,LIFG_orb,EventsOrig,EventsOrig,Sem_photo,Perc_photo,0.5006748046775904
040,LIFG,EventsOrig,EventsOrig,Sem_photo,Perc_photo,-0.005983755655207534
040,LMFG,EventsOrig,EventsOrig,Sem_photo,Perc_photo,0.3598905245073395
040,LAntTemp,EventsOrig,EventsOrig,Sem_photo,Perc_photo,0.38521358227797176
040,LPostTemp,EventsOrig,EventsOrig,Sem_photo,Perc_photo,1.0210023630009142
040,LAngG,EventsOrig,EventsOrig,Sem_photo,Perc_photo,-0.0368800828105148
040,LIFG_orb,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.36636637912113457
040,LIFG,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.6290815309741529
040,LMFG,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.23098328404766955
040,LAntTemp,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.9568523602177152
040,LPostTemp,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.9757984196048322
040,LAngG,EventsOrig,EventsOrig,Sem_photo,Sem_sent,0.18999779070742667
040,LIFG_orb,EventsOrig,EventsOrig,Sem_photo,Perc_sent,0.4773926868065777
040,LIFG,EventsOrig,EventsOrig,Sem_photo,Perc_sent,0.17551172092285547
040,LMFG,EventsOrig,EventsOrig,Sem_photo,Perc_sent,0.07486835904719293
040,LAntTemp,EventsOrig,EventsOrig,Sem_photo,Perc_sent,0.10054644374072409
040,LPostTemp,EventsOrig,EventsOrig,Sem_photo,Perc_sent,0.9420046663185202
040,LAngG,EventsOrig,EventsOrig,Sem_photo,Perc_sent,-0.04969102154000643
040,LIFG_orb,EventsOrig,SWNloc,Perc_photo,S,-0.09687309725237507
040,LIFG,EventsOrig,SWNloc,Perc_photo,S,0.2698514183268821
040,LMFG,EventsOrig,SWNloc,Perc_photo,S,-0.6179168998050202
040,LAntTemp,EventsOrig,SWNloc,Perc_photo,S,0.7505156535334198
040,LPostTemp,EventsOrig,SWNloc,Perc_photo,S,1.4601962945388278
040,LAngG,EventsOrig,SWNloc,Perc_photo,S,-0.15982371269483744
