froi,size,effect_run,froi_run,subject,effect
5,0.6237008309639667,3,orth3,040,N
6,1.745709259566423,1,orth1,040,N
6,0.35974060885004094,2,orth2,040,N
6,1.6844924539327621,3,orth3,040,N
1,2.287341540045783,1,orth1,057,S
1,3.2818807700053365,2,orth2,057,S
1,1.7742771171793645,3,orth3,057,S
2,1.023777586074523,1,orth1,057,S
2,2.849743842756675,2,orth2,057,S
2,1.0264245575109934,3,orth3,057,S
3,1.2884398704045452,1,orth1,057,S
3,2.428032122552395,2,orth2,057,S
3,1.7346556056290865,3,orth3,057,S
4,1.4978179508769833,1,orth1,057,S
4,2.6272025545303888,2,orth2,057,S
4,2.2000480551977417,3,orth3,057,S
5,1.2727521497429775,1,orth1,057,S
5,2.2866310522608133,2,orth2,057,S
5,2.153785578582598,3,orth3,057,S
6,2.8107285765377252,1,orth1,057,S
6,5.898134979041847,2,orth2,057,S
6,0.8772319371535165,3,orth3,057,S
1,3.1130847360203866,1,orth1,057,W
1,4.110994598086999,2,orth2,057,W
1,2.466708735087696,3,orth3,057,W
2,0.2938731208179192,1,orth1,057,W
2,2.7440204916314945,2,orth2,057,W
2,0.7895943558768421,3,orth3,057,W
3,1.075231776041619,1,orth1,057,W
3,3.9804450031369925,2,orth2,057,W
3,2.500187208483112,3,orth3,057,W
4,2.7792749746224366,1,orth1,057,W
4,3.90043057299949,2,orth2,057,W
4,3.840551373120901,3,orth3,057,W
5,3.5585800150166387,1,orth1,057,W
5,3.7983304884122764,2,orth2,057,W
5,4.379876416662465,3,orth3,057,W
6,1.835580129881163,1,orth1,057,W
6,6.849248254621351,2,orth2,057,W
6,-0.9783044778112624,3,orth3,057,W
1,0.2936063809383686,1,orth1,057,N
1,-0.06500078368057706,2,orth2,057,N
1,1.5557915300358922,3,orth3,057,N
2,-0.0635355978652283,1,orth1,057,N
2,0.32592296848119595,2,orth2,057,N
2,0.12403899463422505,3,orth3,057,N
3,-1.4949098131546634,1,orth1,057,N
3,-1.3989816961693577,2,orth2,057,N
3,1.70514054922387,3,orth3,057,N
4,0.6731730832756069,1,orth1,057,N
4,1.2051193360742685,2,orth2,057,N
4,3.2575150853073276,3,orth3,057,N
5,0.30947957064389536,1,orth1,057,N
5,-0.29399076065443375,2,orth2,057,N
5,3.8231105078821597,3,orth3,057,N
6,1.7864227049254082,1,orth1,057,N
6,1.8351927109666772,2,orth2,057,N
6,-2.3974694915719934,3,orth3,057,N
1,2.0143917941925475,1,orth1,059,S
1,1.5025103182506552,2,orth2,059,S
1,1.2683141065292618,3,orth3,059,S
2,0.8786066914527723,1,orth1,059,S
2,0.7105828766907057,2,orth2,059,S
2,0.7185569926406499,3,orth3,059,S
3,1.9159533334895968,1,orth1,059,S
3,1.4569153236225247,2,orth2,059,S
3,0.2407665544669726,3,orth3,059,S
4,2.6730736342032215,1,orth1,059,S
4,1.4427455950251504,2,orth2,059,S
4,1.0236373704832953,3,orth3,059,S
5,2.5013789962167325,1,orth1,059,S
5,1.412701752198779,2,orth2,059,S
5,1.585788503613161,3,orth3,059,S
6,1.131791833687473,1,orth1,059,S
6,0.9519396792795207,2,orth2,059,S
6,0.8071792713693671,3,orth3,059,S
1,1.6807084949497058,1,orth1,059,W
1,0.9487428603389737,2,orth2,059,W
1,1.0230072167197948,3,orth3,059,W
2,0.5603271179335237,1,orth1,059,W
2,0.5174047318344683,2,orth2,059,W
2,0.6265867919557624,3,orth3,059,W
3,1.771437014453113,1,orth1,059,W
3,0.9716404716309626,2,orth2,059,W
3,-0.03477559371822281,3,orth3,059,W
4,2.4220817129857637,1,orth1,059,W
4,0.8045485425941847,2,orth2,059,W
4,0.7376656066374602,3,orth3,059,W
5,2.36117483092391,1,orth1,059,W
5,1.2716903432231883,2,orth2,059,W
5,1.23692420149303,3,orth3,059,W
6,0.7584368058958569,1,orth1,059,W
6,0.40305497609330593,2,orth2,059,W
6,0.854204619253004,3,orth3,059,W
1,1.6112673000438886,1,orth1,059,N
1,0.7042585186911038,2,orth2,059,N
1,0.09118834444556106,3,orth3,059,N
2,0.5963385304404468,1,orth1,059,N
2,0.23244767184897447,2,orth2,059,N
2,-0.0045126129263713035,3,orth3,059,N
3,0.9973484254733194,1,orth1,059,N
3,1.0170399113121675,2,orth2,059,N
3,-0.6367565752007067,3,orth3,059,N
4,2.4653269757290146,1,orth1,059,N
4,1.018781631203318,2,orth2,059,N
4,-0.2820113367712553,3,orth3,059,N
5,2.183515838306883,1,orth1,059,N
5,0.44467829086858296,2,orth2,059,N
5,-0.22333232502695982,3,orth3,059,N
6,1.0316552089879643,1,orth1,059,N
6,0.35779898860365955,2,orth2,059,N
6,0.03153270329474597,3,orth3,059,N
1,0.11051479806540673,1,orth1,056,S
1,0.8758843111026348,2,orth2,056,S
1,1.573856523678619,3,orth3,056,S
2,-0.2844407407834229,1,orth1,056,S
2,0.25689917367618575,2,orth2,056,S
2,0.7376868043261592,3,orth3,056,S
3,-0.19712303382402752,1,orth1,056,S
3,0.5891503209713846,2,orth2,056,S
3,1.1477987695980119,3,orth3,056,S
4,-0.6229326432520473,1,orth1,056,S
4,0.7405373338811301,2,orth2,056,S
4,1.035231951649326,3,orth3,056,S
5,0.01782685947989154,1,orth1,056,S
5,0.46180912555681297,2,orth2,056,S
5,1.06882971006891,3,orth3,056,S
6,-1.049519083789877,1,orth1,056,S
6,0.508498643701141,2,orth2,056,S
6,0.5987042391018288,3,orth3,056,S
1,-0.5049462306854112,1,orth1,056,W
1,1.151697665414944,2,orth2,056,W
1,1.171107414248241,3,orth3,056,W
2,-0.7136104788838161,1,orth1,056,W
2,0.15634761590375507,2,orth2,056,W
2,0.5639538493986173,3,orth3,056,W
3,-0.8410486123466399,1,orth1,056,W
3,0.5419485759921372,2,orth2,056,W
3,0.8375025634595659,3,orth3,056,W
4,-1.8349985079336408,1,orth1,056,W
4,1.891295120019365,2,orth2,056,W
4,0.8595916027127689,3,orth3,056,W
5,-0.38740829937160015,1,orth1,056,W
5,0.9421985639745126,2,orth2,056,W
5,0.44004877158136957,3,orth3,056,W
6,-1.7132146793442804,1,orth1,056,W
6,0.40481884656725703,2,orth2,056,W
6,0.2504604554961662,3,orth3,056,W
1,-0.8879265168825874,1,orth1,056,N
1,-0.16256004973428742,2,orth2,056,N
1,0.34635972836827794,3,orth3,056,N
2,-0.6646262291728312,1,orth1,056,N
2,-0.3097722329067089,2,orth2,056,N
2,-0.11519267022276274,3,orth3,056,N
3,-1.3868119199760258,1,orth1,056,N
3,-0.5297943222685717,2,orth2,056,N
3,0.3054141214233823,3,orth3,056,N
4,-1.223783789422816,1,orth1,056,N
4,0.12640425478221495,2,orth2,056,N
4,0.293246899511212,3,orth3,056,N
5,-0.08942109403585125,1,orth1,056,N
5,0.21441936561756808,2,orth2,056,N
5,0.16005382887290223,3,orth3,056,N
6,-0.8480216936283821,1,orth1,056,N
6,0.05348800686565605,2,orth2,056,N
6,0.19989206786645022,3,orth3,056,N
1,1.0362110448887154,1,orth1,067,S
1,0.6017415985666202,2,orth2,067,S
1,1.0251653943793708,3,orth3,067,S
2,-0.18143772065242822,1,orth1,067,S
