parcel1,froi2,overlap,run1,run2,subject
1,2,0.0,parcels,all,057
1,3,0.35911602209944754,parcels,all,057
1,4,0.992,parcels,all,057
1,5,0.0,parcels,all,057
1,6,0.0,parcels,all,057
1,7,0.0,parcels,all,057
1,8,0.0,parcels,all,057
1,9,0.0,parcels,all,057
1,10,0.0,parcels,all,057
1,11,0.0,parcels,all,057
2,1,0.0,parcels,all,057
2,2,0.0,parcels,all,057
2,3,0.0,parcels,all,057
2,4,0.0,parcels,all,057
2,5,0.0,parcels,all,057
2,6,0.0,parcels,all,057
2,7,0.0,parcels,all,057
2,8,0.0,parcels,all,057
2,9,0.0,parcels,all,057
2,10,0.0,parcels,all,057
2,11,0.0,parcels,all,057
3,1,0.0,parcels,all,057
3,2,0.0,parcels,all,057
3,3,0.2596685082872928,parcels,all,057
3,4,0.0,parcels,all,057
3,5,0.0,parcels,all,057
3,6,0.0,parcels,all,057
3,7,0.0,parcels,all,057
3,8,0.0,parcels,all,057
3,9,0.0,parcels,all,057
3,10,0.0,parcels,all,057
3,11,0.0,parcels,all,057
4,1,0.34831460674157305,parcels,all,057
4,2,0.06896551724137931,parcels,all,057
4,3,0.0,parcels,all,057
4,4,0.0,parcels,all,057
4,5,0.0,parcels,all,057
4,6,0.0,parcels,all,057
4,7,0.0,parcels,all,057
4,8,0.0,parcels,all,057
4,9,0.0,parcels,all,057
4,10,0.0,parcels,all,057
4,11,0.0,parcels,all,057
5,1,0.0,parcels,all,057
5,2,0.0,parcels,all,057
5,3,0.0,parcels,all,057
5,4,0.0,parcels,all,057
5,5,0.0,parcels,all,057
5,6,0.0,parcels,all,057
5,7,0.0,parcels,all,057
5,8,0.0,parcels,all,057
5,9,0.0,parcels,all,057
5,10,0.0,parcels,all,057
5,11,0.0,parcels,all,057
6,1,0.0,parcels,all,057
6,2,0.2672413793103448,parcels,all,057
6,3,0.0,parcels,all,057
6,4,0.0,parcels,all,057
6,5,0.0,parcels,all,057
6,6,0.0,parcels,all,057
6,7,0.0,parcels,all,057
6,8,0.0,parcels,all,057
6,9,0.0,parcels,all,057
6,10,0.0,parcels,all,057
6,11,0.0,parcels,all,057
1,1,0.0,parcels,all,059
1,2,0.0,parcels,all,059
1,3,0.0,parcels,all,059
1,4,0.76,parcels,all,059
1,5,0.0,parcels,all,059
1,6,0.0,parcels,all,059
1,7,0.0,parcels,all,059
1,8,0.0,parcels,all,059
1,9,0.0,parcels,all,059
1,10,0.0,parcels,all,059
1,11,0.0,parcels,all,059
2,1,0.0,parcels,all,059
2,2,0.0,parcels,all,059
2,3,0.0,parcels,all,059
2,4,0.0,parcels,all,059
2,5,0.0,parcels,all,059
2,6,0.0,parcels,all,059
2,7,0.0,parcels,all,059
2,8,0.0,parcels,all,059
2,9,0.0,parcels,all,059
2,10,0.0,parcels,all,059
2,11,0.0,parcels,all,059
3,1,0.0,parcels,all,059
3,2,0.0,parcels,all,059
3,3,0.7237569060773481,parcels,all,059
3,4,0.0,parcels,all,059
3,5,0.0,parcels,all,059
3,6,0.0,parcels,all,059
3,7,0.0,parcels,all,059
3,8,0.0,parcels,all,059
3,9,0.0,parcels,all,059
3,10,0.0,parcels,all,059
3,11,0.0,parcels,all,059
4,1,0.43820224719101125,parcels,all,059
4,2,0.23275862068965517,parcels,all,059
4,3,0.0,parcels,all,059
4,4,0.0,parcels,all,059
4,5,0.0,parcels,all,059
4,6,0.0,parcels,all,059
4,7,0.0,parcels,all,059
4,8,0.0,parcels,all,059
4,9,0.0,parcels,all,059
4,10,0.0,parcels,all,059
4,11,0.0,parcels,all,059
5,1,0.0,parcels,all,059
5,2,0.0,parcels,all,059
5,3,0.0,parcels,all,059
5,4,0.0,parcels,all,059
5,5,0.0,parcels,all,059
5,6,0.0,parcels,all,059
5,7,0.0,parcels,all,059
5,8,0.0,parcels,all,059
5,9,0.0,parcels,all,059
5,10,0.0,parcels,all,059
5,11,0.0,parcels,all,059
6,1,0.0,parcels,all,059
6,2,0.39655172413793105,parcels,all,059
6,3,0.0,parcels,all,059
6,4,0.0,parcels,all,059
6,5,0.0,parcels,all,059
6,6,0.0,parcels,all,059
6,7,0.0,parcels,all,059
6,8,0.0,parcels,all,059
6,9,0.0,parcels,all,059
6,10,0.0,parcels,all,059
6,11,0.0,parcels,all,059
1,1,0.0,parcels,all,056
1,2,0.0,parcels,all,056
1,3,0.574585635359116,parcels,all,056
1,4,0.528,parcels,all,056
1,5,0.0,parcels,all,056
1,6,0.0,parcels,all,056
1,7,0.0,parcels,all,056
1,8,0.0,parcels,all,056
1,9,0.0,parcels,all,056
1,10,0.0,parcels,all,056
1,11,0.0,parcels,all,056
2,1,0.0,parcels,all,056
2,2,0.0,parcels,all,056
2,3,0.0,parcels,all,056
2,4,0.0,parcels,all,056
2,5,0.0,parcels,all,056
2,6,0.0,parcels,all,056
2,7,0.0,parcels,all,056
2,8,0.0,parcels,all,056
2,9,0.0,parcels,all,056
2,10,0.0,parcels,all,056
2,11,0.0,parcels,all,056
3,1,0.0,parcels,all,056
3,2,0.0,parcels,all,056
3,3,0.23204419889502761,parcels,all,056
3,4,0.0,parcels,all,056
3,5,0.0,parcels,all,056
3,6,0.0,parcels,all,056
3,7,0.0,parcels,all,056
3,8,0.0,parcels,all,056
3,9,0.0,parcels,all,056
3,10,0.0,parcels,all,056
3,11,0.0,parcels,all,056
4,1,0.6797752808988764,parcels,all,056
4,2,0.0603448275862069,parcels,all,056
