subject,group1,group2,froi1,froi2,overlap
040,0,2,LPostTemp,F3,0.0
040,0,2,LPostTemp,TP1,0.0
040,0,2,LPostTemp,O1,0.0
040,0,2,LPostTemp,Cer2,0.0
040,0,2,LPostTemp,O2,0.0
040,0,2,LAngG,F2,0.0
040,0,2,LAngG,F1,0.1891891891891892
040,0,2,LAngG,TP3,0.0
040,0,2,LAngG,TP2,0.0
040,0,2,LAngG,Cer1,0.0
040,0,2,LAngG,TP4,0.0
040,0,2,LAngG,F3,0.0
040,0,2,LAngG,TP1,0.0
040,0,2,LAngG,O1,0.0
040,0,2,LAngG,Cer2,0.0
040,0,2,LAngG,O2,0.0
040,0,3,LIFG_orb,F2,0.0
040,0,3,LIFG_orb,F1,0.0
040,0,3,LIFG_orb,TP3,0.0
040,0,3,LIFG_orb,TP2,0.4166666666666667
040,0,3,LIFG_orb,Cer1,0.0
040,0,3,LIFG_orb,TP4,0.0
040,0,3,LIFG_orb,F3,0.0
040,0,3,LIFG_orb,TP1,0.0
040,0,3,LIFG_orb,O1,0.0
040,0,3,LIFG_orb,Cer2,0.0
040,0,3,LIFG_orb,O2,0.0
040,0,3,LIFG,F2,0.0
040,0,3,LIFG,F1,0.0
040,0,3,LIFG,TP3,0.0
040,0,3,LIFG,TP2,0.0
040,0,3,LIFG,Cer1,0.0
040,0,3,LIFG,TP4,0.0
040,0,3,LIFG,F3,0.0
040,0,3,LIFG,TP1,0.0
040,0,3,LIFG,O1,0.0
040,0,3,LIFG,Cer2,0.0
040,0,3,LIFG,O2,0.0
040,0,3,LMFG,F2,0.0
040,0,3,LMFG,F1,0.0
040,0,3,LMFG,TP3,0.35
040,0,3,LMFG,TP2,0.0
040,0,3,LMFG,Cer1,0.0
040,0,3,LMFG,TP4,0.0
040,0,3,LMFG,F3,0.0
040,0,3,LMFG,TP1,0.0
040,0,3,LMFG,O1,0.0
040,0,3,LMFG,Cer2,0.0
040,0,3,LMFG,O2,0.0
040,0,3,LAntTemp,F2,0.0
040,0,3,LAntTemp,F1,0.0
040,0,3,LAntTemp,TP3,0.0
040,0,3,LAntTemp,TP2,0.0
040,0,3,LAntTemp,Cer1,0.0
040,0,3,LAntTemp,TP4,0.0
040,0,3,LAntTemp,F3,0.0
040,0,3,LAntTemp,TP1,0.0
040,0,3,LAntTemp,O1,0.0
040,0,3,LAntTemp,Cer2,0.0
040,0,3,LAntTemp,O2,0.0
040,0,3,LPostTemp,F2,0.0
040,0,3,LPostTemp,F1,0.0
040,0,3,LPostTemp,TP3,0.0
040,0,3,LPostTemp,TP2,0.0
040,0,3,LPostTemp,Cer1,0.0
040,0,3,LPostTemp,TP4,0.0
040,0,3,LPostTemp,F3,0.0
040,0,3,LPostTemp,TP1,0.0
040,0,3,LPostTemp,O1,0.0
040,0,3,LPostTemp,Cer2,0.0
040,0,3,LPostTemp,O2,0.0
040,0,3,LAngG,F2,0.0
040,0,3,LAngG,F1,0.20833333333333334
040,0,3,LAngG,TP3,0.0
040,0,3,LAngG,TP2,0.0
040,0,3,LAngG,Cer1,0.0
040,0,3,LAngG,TP4,0.0
040,0,3,LAngG,F3,0.0
040,0,3,LAngG,TP1,0.0
040,0,3,LAngG,O1,0.0
040,0,3,LAngG,Cer2,0.0
040,0,3,LAngG,O2,0.0
040,1,0,F2,LIFG_orb,0.0
040,1,0,F2,LIFG,0.0
040,1,0,F2,LMFG,0.0
040,1,0,F2,LAntTemp,0.06756756756756757
040,1,0,F2,LPostTemp,0.0
040,1,0,F2,LAngG,0.0
040,1,0,F1,LIFG_orb,0.0
040,1,0,F1,LIFG,0.0
040,1,0,F1,LMFG,0.0
040,1,0,F1,LAntTemp,0.0
040,1,0,F1,LPostTemp,0.0
040,1,0,F1,LAngG,0.1891891891891892
040,1,0,TP3,LIFG_orb,0.07734806629834254
040,1,0,TP3,LIFG,0.0
040,1,0,TP3,LMFG,0.90625
040,1,0,TP3,LAntTemp,0.0
040,1,0,TP3,LPostTemp,0.0
040,1,0,TP3,LAngG,0.0
040,1,0,TP2,LIFG_orb,0.512
040,1,0,TP2,LIFG,0.0
040,1,0,TP2,LMFG,0.0
040,1,0,TP2,LAntTemp,0.0
040,1,0,TP2,LPostTemp,0.0
040,1,0,TP2,LAngG,0.0
040,1,0,Cer1,LIFG_orb,0.0
040,1,0,Cer1,LIFG,0.0
040,1,0,Cer1,LMFG,0.0
040,1,0,Cer1,LAntTemp,0.0
040,1,0,Cer1,LPostTemp,0.0
040,1,0,Cer1,LAngG,0.0
040,1,0,TP4,LIFG_orb,0.0
040,1,0,TP4,LIFG,0.0
040,1,0,TP4,LMFG,0.0
040,1,0,TP4,LAntTemp,0.0
040,1,0,TP4,LPostTemp,0.0
040,1,0,TP4,LAngG,0.0
040,1,0,F3,LIFG_orb,0.0
040,1,0,F3,LIFG,0.0
040,1,0,F3,LMFG,0.0
040,1,0,F3,LAntTemp,0.0
040,1,0,F3,LPostTemp,0.0
040,1,0,F3,LAngG,0.0
040,1,0,TP1,LIFG_orb,0.0
040,1,0,TP1,LIFG,0.0
040,1,0,TP1,LMFG,0.0
040,1,0,TP1,LAntTemp,0.0
040,1,0,TP1,LPostTemp,0.0
040,1,0,TP1,LAngG,0.0
040,1,0,O1,LIFG_orb,0.0
040,1,0,O1,LIFG,0.0
040,1,0,O1,LMFG,0.0
040,1,0,O1,LAntTemp,0.0
040,1,0,O1,LPostTemp,0.0
040,1,0,O1,LAngG,0.0
040,1,0,Cer2,LIFG_orb,0.0
040,1,0,Cer2,LIFG,0.0
040,1,0,Cer2,LMFG,0.0
040,1,0,Cer2,LAntTemp,0.0
040,1,0,Cer2,LPostTemp,0.0
040,1,0,Cer2,LAngG,0.0
040,1,0,O2,LIFG_orb,0.0
040,1,0,O2,LIFG,0.0
040,1,0,O2,LMFG,0.0
040,1,0,O2,LAntTemp,0.0
040,1,0,O2,LPostTemp,0.0
040,1,0,O2,LAngG,0.0
040,1,1,F2,F2,0.4606741573033708
040,1,1,F2,F1,0.0
040,1,1,F2,TP3,0.0
040,1,1,F2,TP2,0.0
040,1,1,F2,Cer1,0.0
040,1,1,F2,TP4,0.0
040,1,1,F2,F3,0.0
040,1,1,F2,TP1,0.0
040,1,1,F2,O1,0.0
040,1,1,F2,Cer2,0.0
040,1,1,F2,O2,0.0
040,1,1,F1,F2,0.0
040,1,1,F1,F1,0.3275862068965517
040,1,1,F1,TP3,0.0
040,1,1,F1,TP2,0.0
040,1,1,F1,Cer1,0.0
040,1,1,F1,TP4,0.0
040,1,1,F1,F3,0.0
040,1,1,F1,TP1,0.0
040,1,1,F1,O1,0.0
040,1,1,F1,Cer2,0.0
040,1,1,F1,O2,0.0
040,1,1,TP3,F2,0.0
040,1,1,TP3,F1,0.0
040,1,1,TP3,TP3,0.281767955801105
040,1,1,TP3,TP2,0.0
