subject,group1,group2,froi1,froi2,overlap
,0,0,F2,F2,1.0
,0,0,F2,F1,0.0
,0,0,F2,TP3,0.0
,0,0,F2,TP2,0.0
,0,0,F2,Cer1,0.0
,0,0,F2,TP4,0.0
,0,0,F2,F3,0.0
,0,0,F2,TP1,0.0
,0,0,F2,O1,0.0
,0,0,F2,Cer2,0.0
,0,0,F2,O2,0.0
,0,0,F1,F2,0.0
,0,0,F1,F1,1.0
,0,0,F1,TP3,0.0
,0,0,F1,TP2,0.0
,0,0,F1,Cer1,0.0
,0,0,F1,TP4,0.0
,0,0,F1,F3,0.0
,0,0,F1,TP1,0.0
,0,0,F1,O1,0.0
,0,0,F1,Cer2,0.0
,0,0,F1,O2,0.0
,0,0,TP3,F2,0.0
,0,0,TP3,F1,0.0
,0,0,TP3,TP3,1.0
,0,0,TP3,TP2,0.0
,0,0,TP3,Cer1,0.0
,0,0,TP3,TP4,0.0
,0,0,TP3,F3,0.0
,0,0,TP3,TP1,0.0
,0,0,TP3,O1,0.0
,0,0,TP3,Cer2,0.0
,0,0,TP3,O2,0.0
,0,0,TP2,F2,0.0
,0,0,TP2,F1,0.0
,0,0,TP2,TP3,0.0
,0,0,TP2,TP2,1.0
,0,0,TP2,Cer1,0.0
,0,0,TP2,TP4,0.0
,0,0,TP2,F3,0.0
,0,0,TP2,TP1,0.0
,0,0,TP2,O1,0.0
,0,0,TP2,Cer2,0.0
,0,0,TP2,O2,0.0
,0,0,Cer1,F2,0.0
,0,0,Cer1,F1,0.0
,0,0,Cer1,TP3,0.0
,0,0,Cer1,TP2,0.0
,0,0,Cer1,Cer1,1.0
,0,0,Cer1,TP4,0.0
,0,0,Cer1,F3,0.0
,0,0,Cer1,TP1,0.0
,0,0,Cer1,O1,0.0
,0,0,Cer1,Cer2,0.0
,0,0,Cer1,O2,0.0
,0,0,TP4,F2,0.0
,0,0,TP4,F1,0.0
,0,0,TP4,TP3,0.0
,0,0,TP4,TP2,0.0
,0,0,TP4,Cer1,0.0
,0,0,TP4,TP4,1.0
,0,0,TP4,F3,0.0
,0,0,TP4,TP1,0.0
,0,0,TP4,O1,0.0
,0,0,TP4,Cer2,0.0
,0,0,TP4,O2,0.0
,0,0,F3,F2,0.0
,0,0,F3,F1,0.0
,0,0,F3,TP3,0.0
,0,0,F3,TP2,0.0
,0,0,F3,Cer1,0.0
,0,0,F3,TP4,0.0
,0,0,F3,F3,1.0
,0,0,F3,TP1,0.0
,0,0,F3,O1,0.0
